--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log
		Log file is created at : Thu Jun 19 12:03:43 2025
--------------------------------------------------------------------------------{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375} 
{'pid': 3956, 'name': 'svchost.exe', 'username': None, 'vms': 1.7421875} 

{'pid': 4204, 'name': 'svchost.exe', 'username': None, 'vms': 7.7578125} 

{'pid': 4252, 'name': 'svchost.exe', 'username': None, 'vms': 3.59765625} 

{'pid': 4268, 'name': 'svchost.exe', 'username': None, 'vms': 31.3515625} 

{'pid': 4396, 'name': 'spoolsv.exe', 'username': None, 'vms': 6.6953125} 

{'pid': 4436, 'name': 'svchost.exe', 'username': None, 'vms': 13.88671875} 

{'pid': 4552, 'name': 'svchost.exe', 'username': None, 'vms': 9.29296875} 

{'pid': 4684, 'name': 'svchost.exe', 'username': None, 'vms': 2.7578125} 

{'pid': 4716, 'name': 'svchost.exe', 'username': None, 'vms': 2.19921875} 

{'pid': 4796, 'name': 'NgcIso.exe', 'username': None, 'vms': 1.015625} 

{'pid': 4908, 'name': 'svchost.exe', 'username': None, 'vms': 37.03515625} 

{'pid': 4916, 'name': 'Dell.TechHub.exe', 'username': None, 'vms': 39.2734375} 

{'pid': 4924, 'name': 'DellPairService.exe', 'username': None, 'vms': 6.89453125} 

{'pid': 4932, 'name': 'svchost.exe', 'username': None, 'vms': 8.33984375} 

{'pid': 4940, 'name': 'ipf_uf.exe', 'username': None, 'vms': 2.1640625} 

{'pid': 4972, 'name': 'svchost.exe', 'username': None, 'vms': 29.58984375} 

{'pid': 4980, 'name': 'IntelAudioService.exe', 'username': None, 'vms': 39.453125} 

{'pid': 4988, 'name': 'jhi_service.exe', 'username': None, 'vms': 1.4140625} 

{'pid': 4996, 'name': 'WavesAudioService.exe', 'username': None, 'vms': 13.359375} 

{'pid': 5004, 'name': 'OneApp.IGCC.WinService.exe', 'username': None, 'vms': 33.8515625} 

{'pid': 5012, 'name': 'WMIRegistrationService.exe', 'username': None, 'vms': 3.0390625} 

{'pid': 5032, 'name': 'svchost.exe', 'username': None, 'vms': 3.171875} 

{'pid': 5044, 'name': 'mc-fw-host.exe', 'username': None, 'vms': 243.69140625} 

{'pid': 5052, 'name': 'sqlwriter.exe', 'username': None, 'vms': 8.01171875} 

{'pid': 5060, 'name': 'IntelAnalyticsService.exe', 'username': None, 'vms': 8.9921875} 

{'pid': 5068, 'name': 'svchost.exe', 'username': None, 'vms': 1.609375} 

{'pid': 5076, 'name': 'svchost.exe', 'username': None, 'vms': 13.6953125} 

{'pid': 5084, 'name': 'svchost.exe', 'username': None, 'vms': 5.0546875} 

